Value,Category
Respiratory failure,Respiratory failure
Cardiac arrest,Cardiac arrest
*Unspecified,Unspecified / Other
Sepsis,Sepsis and septic shock
Pneumonia,Pneumonia
DKA (diabetic ketoacidosis),Renal failure or other metabolic problem
Septic shock,Sepsis and septic shock
STEMI (ST elevation myocardial,Acute coronary syndromes
Shock,Sepsis and septic shock
Respiratory failure with hypox,Respiratory failure
CHF (congestive heart failure),Congestive heart failure or other cardiac problem not due to acute ischemia
"Cardiac arrest, unspecified",Cardiac arrest
Acute hypoxemic respiratory fa,Respiratory failure
Altered level of consciousness,"Encephalopathy, neuropathy, or seizures"
COPD exacerbation,Respiratory failure
Stroke,Ischemic and hemorrhagic stroke
Seizure,"Encephalopathy, neuropathy, or seizures"
Hypoxia,Respiratory failure
AKI (acute kidney injury),Renal failure or other metabolic problem
Overdose,Overdose / substance abuse
Hypotension,Sepsis and septic shock
ICH (intracerebral hemorrhage),Ischemic and hemorrhagic stroke
COVID,Pneumonia
Small bowel obstruction,Hepatobiliary or abdominal
"Respiratory failure, unspecifi",Respiratory failure
Lung cancer,Cancer
"Acute respiratory failure, typ",Respiratory failure
GIB (gastrointestinal bleeding,Bleeding
COVID-19,Pneumonia
Bradycardia,Congestive heart failure or other cardiac problem not due to acute ischemia
NSTEMI (non-ST elevated myocar,Acute coronary syndromes
Perforated viscus,Hepatobiliary or abdominal
Cardiogenic shock,Congestive heart failure or other cardiac problem not due to acute ischemia
Hyponatremia,Renal failure or other metabolic problem
Aspiration pneumonia,Pneumonia
COPD (chronic obstructive pulm,Respiratory failure
GI bleed,Bleeding
Pneumonia due to COVID-19 viru,Pneumonia
Pulmonary embolism,Congestive heart failure or other cardiac problem not due to acute ischemia
Upper GI bleed,Bleeding
Intracranial hemorrhage,Ischemic and hemorrhagic stroke
SOB (shortness of breath),Respiratory failure
Status epilepticus,"Encephalopathy, neuropathy, or seizures"
Complete heart block,Congestive heart failure or other cardiac problem not due to acute ischemia
Decreased level of consciousne,"Encephalopathy, neuropathy, or seizures"
UGIB (upper gastrointestinal b,Bleeding
AAA (abdominal aortic aneurysm,Peripheral vascular disease
Congestive heart failure,Congestive heart failure or other cardiac problem not due to acute ischemia
Ischemic stroke,Ischemic and hemorrhagic stroke
PVD (peripheral vascular disea,Peripheral vascular disease
Pancreatitis,Hepatobiliary or abdominal
ACS (acute coronary syndrome),Acute coronary syndromes
"Goals of care, counseling/disc",Unspecified / Other
Hypercapnic respiratory failur,Respiratory failure
Heart failure,Congestive heart failure or other cardiac problem not due to acute ischemia
Abdominal aortic aneurysm,Hepatobiliary or abdominal
Anemia,Bleeding
Bacteremia,Sepsis and septic shock
Dyspnea,Respiratory failure
Intracerebral hemorrhage,Ischemic and hemorrhagic stroke
Acute cholecystitis,Hepatobiliary or abdominal
Discharge planning issues,Unspecified / Other
Fever,Sepsis and septic shock
